PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,dataEditNotes
Dave Erikson,Emailed,project data,habitat,941,Normal,1999,1999,,,URS,
Patty Brown-Schwalenberg,Unrecoverable,project data,inverts,942,Normal,1995,1999,,no contact info,Chugach Regional Resources Commission,
Christine Brodersen,Replied,monitoring data,oil,943,Normal,1997,1999,,,NOAA,
Christine Brodersen,Replied,"""Shoreline Cleanup"" project documentation",oil,943,Normal,1996,1999,,,NOAA,
Gary Shigeka,Replied,project data,inverts,946,Normal,2007,2007,,,ADFG,
Glenn Ford,Unrecoverable,model - no data,modeling,950,Normal,1997,2000,,,Ecological Consulting,
Mark Willette,Replied,670-Dataeset,fish,952,Normal,2003,2006,,,ADFG,
Gary Thomas,Emailed,320-N dataset,plankton,957,Normal,1994,1999,,,U Miami,
Kenneth Goldman,Replied,#639 Dataset,oceanography,964,High,2004,2004,,,ADFG,
Peter McRoy,Replied,#320-G dataset,plankton,966,Normal,1994,1999,,,UAF,
Dia Stram,Replied,#671-dataset,oceanography,968,High,2002,2002,,,NOAA,
Steve Baird,Emailed,#743-Coastwalk dataset and ESRI shapefile metadata,habitat,971,Normal,2005,2005,,,ADFG,
William Hauser,Emailed,#612-dataset,habitat,976,Normal,2002,2002,,,ADFG,
Bob Crumley,Unrecoverable,Student data - various - multiple CDs,misc projects,982,Normal,1996,2007,,data lost,Chugach School District,
Gary Kompkoff,Unrecoverable,film - at ARLIS,anthropogenic,996,Normal,1998,1998,,no data generated,ADFG,
Russell Kunibe,Emailed,A broken URL to website; contact to find out if any unique data,dataMgmt,1000,Normal,1999,2001,,,AK Dept of Envtl Cons,
Jim Fall,Unrecoverable,Aggregated Survey Data from Fil Report,anthropogenic,1002,Normal,1998,2004,,non digital,ADFG,
Gary Thomas,Emailed,Project Data,fish,1004,Normal,1998,2001,,,U Miami,
Vince Patrick,Unrecoverable,model: population development of Pacific herring in Prince William Sound,modeling,1006,Normal,1994,1998,,no data generated,PWSSC,
William Hauser,Replied,B10 - Dataset,marineBirds,1014,Normal,1989,1989,,,ADFG,
William Hauser,Emailed,B13 - dataset,marineBirds,1016,Normal,1989,1990,,,ADFG,
Jaqueline Michel,Replied,#801 - dataset,oil,1018,Normal,2007,2007,,,Research & Plannning Inc.,
Jaqueline Michel,Emailed,#778 - dataset,oil,1020,Normal,2005,2005,,,Research & Plannning Inc.,
Nate Bickford,Replied,#782 - dataset,fish,1022,Normal,2006,2007,,,U. Great Falls,
K. Roth,Replied,FS06 - Dataset,fish,1024,Normal,1989,1989,,,ADFG,
Richard Carson,Emailed,Project data,anthropogenic,1026,Normal,1989,1991,,,UCSD,
Edward Mills,Emailed,Data - no report,anthropogenic,1028,Normal,1989,1991,,,Cornell Univ.,
Not Available,Unrecoverable,Project Data - no info or report,anthropogenic,1030,Normal,1989,1991,,no contact info,,
Not Available,Unrecoverable,Project Data - no info or report,anthropogenic,1032,Normal,1989,1991,,no contact info,,
Dave Roseneau,Emailed,survey results of community interest - no report,fish,1036,Normal,2002,2003,,,USFWS,
Tom Turner,Emailed,Pollutant assessment,anthropogenic,1049,Normal,1999,2002,,,ADFG,
Jerome Selby,Emailed,pollutant review?,anthropogenic,1055,Normal,1997,1999,,,Kodiak AK,
Jim Edmundson,Replied,lake fish data?,terrestrial,1058,Normal,1997,1998,,,ADFG,
Kim Sundberg,Unrecoverable,Project Data,anthropogenic,1075,Normal,1994,1995,,no contact info,ADFG,
Not Available,Unrecoverable,no info or report,terrestrial,1081,Normal,1989,1991,,no contact info,,
Not Available,Unrecoverable,no info or report,terrestrial,1083,Normal,1989,1990,,no contact info,,
Allen Macklin,Emailed,CD - Rob Bochenek may have,dataMgmt,1089,Normal,2004,2004,,,AOOS,
Sue Mauger,Replied,Check Cook Inlet Keeper,freshWater,1091,Normal,2002,2002,,,Cook Inletkeeper,
Marianne See,Unrecoverable,report says workshop papers with EVOSTC,meta,1098,Normal,1999,2000,,data lost,ADFG,
Not Available,Unrecoverable,no info or report,anthropogenic,1100,Normal,1999,1999,,no contact info,,
Jon Isaacs,Replied,Project Data,habitat,1107,Normal,1997,1997,,,URS,
Eric Meyers,Emailed,project data,terrestrial,1119,Normal,1994,1994,,,USFWS,
David Scheel,Replied,Program planning data?,dataMgmt,1121,Normal,1994,1994,,,Alaska Pacific U.,
Susan Ruddy,Unrecoverable,no report - does DB exist?,dataMgmt,1127,Normal,1993,1993,,,TNC,
Not Available,Unrecoverable,no info or report,oil,1130,Normal,1991,1991,,no contact info,,
Not Available,Unrecoverable,no info or report,unk,1141,Normal,2004,2008,,no contact info,,
Shannon Atkinson,Unrecoverable,#558 - Dataset,mammals,1184,High,2001,2005,,requested funding,Alaska SeaLife Center,
David Scheel,Replied,#320-Y - Dataset,fish,1189,Normal,1995,1998,,,Alaska Pacific U.,
David Scheel,Replied,#009-D: Dataset,inverts,1192,Normal,1995,1997,,,Alaska Pacific U.,
