PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,dataType,dataEditNotes
Mark Carls,Emailed,Project Data,fish,667,Normal,1999,1999,NA,NA,NOAA,marine,biological-fish,
Mark Carls,Emailed,Project Data,fish,669,Normal,2000,2001,NA,NA,NOAA,marine,biological-fish,
John Piatt,Emailed,Project Data,fish,672,Normal,1995,1996,NA,NA,USGS,marine,biological-fish,
John Piatt,Emailed,Project Data,fish,674,Normal,1996,1996,marine birds,NA,USGS,marine,biological-fish,
John Piatt,Emailed,Project Data,marineBirds,676,Normal,1999,2002,NA,NA,USGS,marine,biological-birds,
John Piatt,Emailed,Project Data,marineBirds,678,Normal,2000,2000,NA,NA,USGS,marine,biological-birds,
John Piatt,Emailed,Project Data,marineBirds,680,Normal,2002,2002,NA,NA,USGS,marine,biological-birds,
John Piatt,Emailed,Project Data,marineBirds,682,Normal,1998,2001,NA,NA,USGS,marine,biological-birds,
Dan Rosenberg,Replied,Project Data - June Follow-up,marineBirds,686,High,1998,2001,NA,NA,ADFG,marine,biological-birds,
Michel Boufadel,Replied,Project Data,oil,695,High,2007,2011,NA,NA,NJ Inst. Of Tech,marine,chemical,
Gary Marty,Unrecoverable,Refused to share data,fish,698,Normal,2000,2003,NA,unwilling to share,NOAA,marine,biological-fish,
Gary Marty,Unrecoverable,Refused to share data,fish,700,Normal,1994,1995,NA,unwilling to share,NOAA,marine,biological-fish,
Gary Marty,Unrecoverable,Refused to share data,oil,702,Normal,1989,1990,NA,unwilling to share,NOAA,marine,chemical,
Richard Kocan,Emailed,Disease data,fish,704,Normal,1996,1999,NA,NA,UCD,marine,biological-fish,
Mandy Lindeberg,Replied,ShoreZone Video,habitat,707,Low,2007,2007,NA,NA,NOAA,marine,ecosystem/habitat,
Mandy Lindeberg,Replied,Shorezone Photographs,habitat,707,Low,2007,2007,NA,NA,NOAA,marine,ecosystem/habitat,
Mary Anne Bishop,Unrecoverable,"Project Data with EVOSTC - refused, unpublished",inverts,709,High,2003,2004,NA,unwilling to share,PWSSC,marine,biological-benthicInverts,
Mary Anne Bishop,published,Project Data ongoing,marineBirds,711,Normal,2007,2009,NA,archived with current data,PWSSC,marine,biological-birds,
Mary Anne Bishop,Replied,SEA: Bird Predation on Herring Spawn in Alaska: 1994 - 1999,fish,713,High,1994,1999,NA,NA,PWSSC,marine,biological-fish,
Mary Anne Bishop,Unrecoverable,Project Data Fil Report,marineBirds,715,Normal,1999,1999,NA,non digital,PWSSC,marine,biological-birds,
Shari Vaughan,Emailed,302-M and 320-T,oceanography,717,Normal,1995,1999,NA,NA,Navy,marine,physical,
Marilyn Dahlheim,Unrecoverable,Olga/NOAA,mammals,729,High,1989,1990,NA,data lost,NOAA,marine,biological-mammals,
Marilyn Dahlheim,Published,hydrocarbon DB,mammals,729,Normal,1989,1992,NA,NA,NOAA,marine,biological-mammals,
